learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,7,0,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.901075375
2,8,7,1,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.873829533
2,8,7,2,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.913653763
2,8,7,3,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.843184547
2,8,7,4,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.812572422
2,8,7,5,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.69707017
2,8,7,6,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.673354371
2,8,7,7,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.78828915
2,8,7,8,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.879395535
2,8,7,9,0.201,0.881,1,0.08190918,0.057861328,0.699859619,4,0.777320275
3,10,2,0,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.825766699
3,10,2,1,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.921514935
3,10,2,2,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.949162819
3,10,2,3,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.917163613
3,10,2,4,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.790600731
3,10,2,5,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.828834732
3,10,2,6,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.822622616
3,10,2,7,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.880297462
3,10,2,8,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.901283355
3,10,2,9,0.215,0.875,1,0.094055176,0.296386719,0.305236816,4,0.863819423
3,10,3,0,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.895979362
3,10,3,1,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.888808148
3,10,3,2,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.943336151
3,10,3,3,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.857359514
3,10,3,4,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.855529866
3,10,3,5,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.675216333
3,10,3,6,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.664273893
3,10,3,7,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.783504128
3,10,3,8,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.904151817
3,10,3,9,0.215,0.875,1,0.046905518,0.013702393,0.614685059,4,0.856444899
4,13,0,0,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.57276067
4,13,0,1,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.459803905
4,13,0,2,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.479332138
4,13,0,3,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.433108417
4,13,0,4,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.543450414
4,13,0,5,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.35730852
4,13,0,6,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.346191516
4,13,0,7,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.405599177
4,13,0,8,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.490490321
4,13,0,9,0.229,0.865,1,0.110443115,0.257141113,0.20425415,0,0.453063164
4,13,1,0,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.763987615
4,13,1,1,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.670652281
4,13,1,2,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.650069183
4,13,1,3,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.709868203
4,13,1,4,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.566117269
4,13,1,5,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.668372117
4,13,1,6,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.428370899
4,13,1,7,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.688057675
4,13,1,8,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.730525461
4,13,1,9,0.229,0.865,1,0.12322998,0.350189209,0.991882324,4,0.66170632
4,13,4,0,0.229,0.865,1,0.120056152,0.358093262,0.967224121,0,0.425555655
4,13,4,1,0.229,0.865,1,0.120056152,0.358093262,0.967224121,0,0.446209448
4,13,4,2,0.229,0.865,1,0.120056152,0.358093262,0.967224121,0,0.343518656
4,13,4,3,0.229,0.865,1,0.120056152,0.358093262,0.967224121,0,0.573001583
4,13,4,4,0.229,0.865,1,0.120056152,0.358093262,0.967224121,0,0.306471588
4,13,4,5,0.229,0.865,1,0.120056152,0.358093262,0.967224121,0,0.372135382
