learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,3,0.238,0.877,1,0.668884,2
2,8,1,0.201,0.881,1,0.836365,4
2,8,4,0.201,0.881,1,0.318573,0
3,10,7,0.215,0.875,1,0.230164,0
4,13,1,0.229,0.865,1,0.167542,3
4,13,6,0.229,0.865,1,0.277618,0
4,13,10,0.229,0.865,1,0.487061,9
4,13,11,0.229,0.865,1,0.389923,1
5,9,3,0.22,0.871,1,0.743164,2
5,9,5,0.22,0.871,1,0.840363,1
5,9,6,0.22,0.871,1,0.503998,6
5,9,8,0.22,0.871,1,0.874939,5
6,19,0,0.22,0.863,1,0.468597,5
6,19,4,0.22,0.863,1,0.51123,1
6,19,8,0.22,0.863,1,0.673035,7
6,19,9,0.22,0.863,1,0.262604,6
6,19,16,0.22,0.863,1,0.41983,3
7,8,0,0.209,0.866,1,0.551239,1
7,8,7,0.209,0.866,1,0.698517,6
8,10,3,0.223,0.887,1,0.330048,6
8,10,9,0.223,0.887,1,0.337524,5
9,13,4,0.199,0.871,1,0.035706,1
9,13,6,0.199,0.871,1,0.692749,4
9,13,8,0.199,0.871,1,0.396393,0
9,13,9,0.199,0.871,1,0.953644,6
10,7,2,0.2,0.876,1,0.826263,4
10,7,5,0.2,0.876,1,0.593933,0
10,7,6,0.2,0.876,1,0.204041,9
12,19,2,0.221,0.877,1,0.223083,3
12,19,3,0.221,0.877,1,0.951782,1
12,19,6,0.221,0.877,1,0.95401,9
13,8,2,0.232,0.87,1,0.63678,1
13,8,5,0.232,0.87,1,0.771393,6
14,7,1,0.219,0.871,1,0.64502,5
14,7,5,0.219,0.871,1,0.779785,8
15,15,6,0.218,0.879,1,0.611755,5
15,15,7,0.218,0.879,1,0.611603,7
15,15,10,0.218,0.879,1,0.857788,6
15,15,14,0.218,0.879,1,0.37149,4
16,8,2,0.201,0.854,1,0.485016,2
17,16,2,0.22,0.885,1,0.628235,2
17,16,3,0.22,0.885,1,0.427887,3
17,16,5,0.22,0.885,1,0.776306,1
17,16,13,0.22,0.885,1,0.63681,6
18,10,0,0.213,0.871,1,0.20578,1
18,10,8,0.213,0.871,1,0.493347,6
19,5,1,0.203,0.874,1,0.334961,6
19,5,3,0.203,0.874,1,0.533356,5
20,16,1,0.203,0.875,1,0.735535,5
20,16,4,0.203,0.875,1,0.14032,8
21,6,5,0.224,0.868,1,0.885773,5
24,12,7,0.204,0.882,1,0.386444,5
24,12,11,0.204,0.882,1,0.665009,8
25,15,1,0.222,0.878,1,0.421661,5
25,15,8,0.222,0.878,1,0.820831,7
25,15,10,0.222,0.878,1,0.241333,4
25,15,11,0.222,0.878,1,0.605194,0
26,20,0,0.21,0.877,1,0.664307,4
26,20,1,0.21,0.877,1,0.192444,2
26,20,2,0.21,0.877,1,0.600067,6
26,20,6,0.21,0.877,1,0.190552,1
26,20,8,0.21,0.877,1,0.519989,0
26,20,16,0.21,0.877,1,0.362488,9
26,20,18,0.21,0.877,1,0.440765,3
26,20,19,0.21,0.877,1,0.240875,7
27,10,2,0.197,0.884,1,0.205627,2
27,10,8,0.197,0.884,1,0.266663,7
28,20,2,0.222,0.858,1,0.963806,2
28,20,4,0.222,0.858,1,0.017609,6
28,20,16,0.222,0.858,1,0.751465,9
28,20,17,0.222,0.858,1,0.380249,1
28,20,18,0.222,0.858,1,0.800018,3
29,20,13,0.225,0.848,1,0.776215,2
29,20,18,0.225,0.848,1,0.618195,1
29,20,19,0.225,0.848,1,0.052734,0
30,13,2,0.214,0.883,1,0.374115,4
30,13,6,0.214,0.883,1,0.879791,2
30,13,7,0.214,0.883,1,0.05249,6
31,10,0,0.21,0.878,1,0.836823,2
31,10,2,0.21,0.878,1,0.022797,0
31,10,3,0.21,0.878,1,0.975098,6
31,10,4,0.21,0.878,1,0.082031,4
31,10,7,0.21,0.878,1,0.147949,1
32,15,5,0.224,0.892,1,0.190277,6
32,15,7,0.224,0.892,1,0.365082,9
33,22,3,0.215,0.885,1,0.360687,4
33,22,12,0.215,0.885,1,0.778687,5
33,22,13,0.215,0.885,1,0.544098,8
33,22,14,0.215,0.885,1,0.896973,2
35,23,8,0.211,0.883,1,0.986572,5
35,23,10,0.211,0.883,1,0.670532,2
35,23,15,0.211,0.883,1,0.627808,7
35,23,16,0.211,0.883,1,0.010834,8
35,23,22,0.211,0.883,1,0.095367,6
36,19,0,0.226,0.864,1,0.444305,4
36,19,3,0.226,0.864,1,0.683228,9
36,19,17,0.226,0.864,1,0.242065,0
36,19,18,0.226,0.864,1,0.369659,6
37,9,4,0.204,0.862,1,0.614105,4
38,27,2,0.186,0.87,1,0.83548,4
38,27,3,0.186,0.87,1,0.861023,2
38,27,8,0.186,0.87,1,0.595428,1
38,27,17,0.186,0.87,1,0.325958,8
40,16,1,0.217,0.889,1,0.280487,2
40,16,3,0.217,0.889,1,0.241089,0
40,16,7,0.217,0.889,1,0.271973,8
40,16,10,0.217,0.889,1,0.921814,7
41,17,0,0.222,0.866,1,0.259155,7
41,17,1,0.222,0.866,1,0.077789,0
41,17,6,0.222,0.866,1,0.092468,6
41,17,9,0.222,0.866,1,0.968262,4
41,17,10,0.222,0.866,1,0.813904,9
41,17,11,0.222,0.866,1,0.927704,8
41,17,12,0.222,0.866,1,0.495728,5
43,19,3,0.208,0.866,1,0.968292,4
43,19,15,0.208,0.866,1,0.666779,6
44,18,2,0.229,0.874,1,0.836273,4
44,18,4,0.229,0.874,1,0.954224,7
44,18,5,0.229,0.874,1,0.022705,1
44,18,13,0.229,0.874,1,0.60437,2
44,18,14,0.229,0.874,1,0.580322,0
45,23,2,0.212,0.857,1,0.23111,0
45,23,4,0.212,0.857,1,0.331879,8
45,23,5,0.212,0.857,1,0.943909,7
45,23,8,0.212,0.857,1,0.637268,2
45,23,11,0.212,0.857,1,0.117432,5
45,23,13,0.212,0.857,1,0.490356,1
45,23,17,0.212,0.857,1,0.125061,4
46,15,2,0.215,0.874,1,0.86145,4
46,15,5,0.215,0.874,1,0.843933,1
47,10,4,0.204,0.889,1,0.292328,6
47,10,5,0.204,0.889,1,0.383148,5
48,11,1,0.235,0.876,1,0.388184,5
48,11,7,0.235,0.876,1,0.956482,8
49,29,4,0.196,0.879,1,0.844696,8
49,29,7,0.196,0.879,1,0.970306,5
49,29,8,0.196,0.879,1,0.118011,2
49,29,18,0.196,0.879,1,0.963348,0
50,11,1,0.227,0.872,1,0.330353,5
50,11,4,0.227,0.872,1,0.305725,2
50,11,7,0.227,0.872,1,0.500153,7
50,11,10,0.227,0.872,1,0.423767,8
52,16,7,0.214,0.861,1,0.122925,5
53,21,1,0.213,0.877,1,0.417572,5
53,21,4,0.213,0.877,1,0.194794,4
53,21,5,0.213,0.877,1,0.40683,0
53,21,7,0.213,0.877,1,0.624268,6
53,21,11,0.213,0.877,1,0.391052,9
53,21,18,0.213,0.877,1,0.208618,2
53,21,20,0.213,0.877,1,0.524902,3
54,20,2,0.213,0.88,1,0.622223,9
54,20,14,0.213,0.88,1,0.428284,0
55,20,0,0.214,0.885,1,0.694977,0
55,20,3,0.214,0.885,1,0.754913,6
55,20,8,0.214,0.885,1,0.654694,7
55,20,10,0.214,0.885,1,0.017731,1
55,20,19,0.214,0.885,1,0.05484,2
56,12,3,0.225,0.878,1,0.355469,0
56,12,10,0.225,0.878,1,0.147797,4
56,12,11,0.225,0.878,1,0.466339,6
57,27,4,0.2,0.865,1,0.099213,1
57,27,12,0.2,0.865,1,0.690857,5
57,27,15,0.2,0.865,1,0.75882,7
57,27,18,0.2,0.865,1,0.083038,3
57,27,20,0.2,0.865,1,0.911255,8
57,27,23,0.2,0.865,1,0.628784,2
57,27,24,0.2,0.865,1,0.48819,6
58,10,4,0.205,0.87,1,0.587036,9
58,10,5,0.205,0.87,1,0.622345,2
59,19,0,0.222,0.869,1,0.081787,4
59,19,1,0.222,0.869,1,0.440399,2
59,19,5,0.222,0.869,1,0.445404,0
59,19,7,0.222,0.869,1,0.493286,6
60,19,1,0.205,0.864,1,0.250763,6
60,19,2,0.205,0.864,1,0.018555,1
60,19,3,0.205,0.864,1,0.166046,5
60,19,4,0.205,0.864,1,0.440704,7
60,19,11,0.205,0.864,1,0.536163,3
61,9,1,0.234,0.885,1,0.077271,5
61,9,6,0.234,0.885,1,0.235443,7
63,14,2,0.217,0.88,1,0.345764,7
63,14,8,0.217,0.88,1,0.536133,5
63,14,10,0.217,0.88,1,0.761108,8
63,14,13,0.217,0.88,1,0.805267,2
64,14,4,0.203,0.902,1,0.894012,5
64,14,13,0.203,0.902,1,0.557007,8
65,18,1,0.204,0.878,1,0.294922,2
65,18,10,0.204,0.878,1,0.064301,5
66,17,5,0.211,0.857,1,0.45285,4
66,17,10,0.211,0.857,1,0.392273,0
67,9,3,0.209,0.865,1,0.270294,4
67,9,4,0.209,0.865,1,0.164581,6
67,9,8,0.209,0.865,1,0.270477,9
68,17,10,0.222,0.872,1,0.528717,4
68,17,13,0.222,0.872,1,0.286102,0
68,17,15,0.222,0.872,1,0.782623,9
69,19,0,0.226,0.871,1,0.727692,2
69,19,1,0.226,0.871,1,0.887024,4
69,19,3,0.226,0.871,1,0.723175,0
69,19,6,0.226,0.871,1,0.594513,3
69,19,8,0.226,0.871,1,0.502869,9
69,19,11,0.226,0.871,1,0.491364,8
69,19,13,0.226,0.871,1,0.800659,7
69,19,16,0.226,0.871,1,0.049835,5
70,13,6,0.212,0.871,1,0.496277,5
70,13,10,0.212,0.871,1,0.391663,4
70,13,11,0.212,0.871,1,0.603119,0
71,20,2,0.189,0.874,1,0.253845,4
71,20,3,0.189,0.874,1,0.89444,0
71,20,9,0.189,0.874,1,0.243042,9
71,20,11,0.189,0.874,1,0.625732,3
72,13,11,0.221,0.887,1,0.753204,7
73,18,0,0.207,0.879,1,0.357178,7
73,18,1,0.207,0.879,1,0.746246,5
73,18,3,0.207,0.879,1,0.123383,8
73,18,7,0.207,0.879,1,0.649506,2
73,18,9,0.207,0.879,1,0.2323,4
73,18,11,0.207,0.879,1,0.030151,0
74,21,1,0.228,0.885,1,0.783844,0
74,21,3,0.228,0.885,1,0.40564,4
74,21,6,0.228,0.885,1,0.918976,6
74,21,13,0.228,0.885,1,0.712708,9
74,21,18,0.228,0.885,1,0.540131,8
74,21,20,0.228,0.885,1,0.144012,7
75,1,0,0.223,0.888,1,0.430695,5
76,20,1,0.213,0.869,1,0.764587,5
76,20,2,0.213,0.869,1,0.202362,4
77,17,0,0.196,0.897,1,0.804169,5
77,17,1,0.196,0.897,1,0.91864,8
77,17,5,0.196,0.897,1,0.188934,2
77,17,10,0.196,0.897,1,0.845032,3
77,17,13,0.196,0.897,1,0.814301,7
78,20,0,0.219,0.868,1,0.066772,5
78,20,3,0.219,0.868,1,0.236511,8
78,20,4,0.219,0.868,1,0.151733,2
78,20,5,0.219,0.868,1,0.234802,7
78,20,7,0.219,0.868,1,0.373291,0
78,20,13,0.219,0.868,1,0.036713,4
78,20,19,0.219,0.868,1,0.861389,9
79,17,5,0.208,0.874,1,0.276855,4
79,17,6,0.208,0.874,1,0.137939,0
79,17,8,0.208,0.874,1,0.074951,3
79,17,10,0.208,0.874,1,0.325989,7
79,17,15,0.208,0.874,1,0.56189,5
81,25,3,0.209,0.869,1,0.274902,8
81,25,7,0.209,0.869,1,0.728333,5
81,25,13,0.209,0.869,1,0.755676,4
81,25,18,0.209,0.869,1,0.93399,7
81,25,20,0.209,0.869,1,0.952759,6
81,25,24,0.209,0.869,1,0.959717,1
82,16,3,0.223,0.881,1,0.530853,4
82,16,4,0.223,0.881,1,0.411377,7
82,16,6,0.223,0.881,1,0.251526,6
82,16,7,0.223,0.881,1,0.393677,9
82,16,11,0.223,0.881,1,0.329529,0
83,18,0,0.218,0.895,1,0.364471,4
83,18,2,0.218,0.895,1,0.213165,9
83,18,3,0.218,0.895,1,0.371979,2
83,18,15,0.218,0.895,1,0.343323,3
84,8,0,0.214,0.872,1,0.899841,2
84,8,4,0.214,0.872,1,0.437561,7
84,8,5,0.214,0.872,1,0.215576,5
84,8,6,0.214,0.872,1,0.472107,8
84,8,7,0.214,0.872,1,0.674255,0
85,19,11,0.235,0.869,1,0.354584,6
85,19,12,0.235,0.869,1,0.498108,4
85,19,15,0.235,0.869,1,0.570892,2
85,19,16,0.235,0.869,1,0.389496,5
86,11,0,0.209,0.879,1,0.118774,2
88,5,4,0.204,0.865,1,0.661835,2
89,12,1,0.221,0.874,1,0.250214,0
89,12,3,0.221,0.874,1,0.328217,3
89,12,6,0.221,0.874,1,0.487915,5
89,12,11,0.221,0.874,1,0.284119,8
90,22,0,0.231,0.886,1,0.470367,5
90,22,1,0.231,0.886,1,0.772522,7
90,22,3,0.231,0.886,1,0.65918,4
90,22,5,0.231,0.886,1,0.49942,2
90,22,13,0.231,0.886,1,0.200256,0
90,22,15,0.231,0.886,1,0.749542,6
90,22,17,0.231,0.886,1,0.891998,1
90,22,18,0.231,0.886,1,0.967834,3
91,3,0,0.202,0.896,1,0.961823,1
91,3,1,0.202,0.896,1,0.198822,2
92,5,0,0.223,0.879,1,0.624054,2
92,5,1,0.223,0.879,1,0.201324,3
92,5,2,0.223,0.879,1,0.227905,1
93,17,0,0.21,0.867,1,0.318146,1
93,17,11,0.21,0.867,1,0.117004,9
